matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
25,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Loris Karius,0:0,3',TSG 1899 Hoffenheim,1.FSV Mainz 05,2:4 ,2013/2014,0
25,Martin Harnik,Rechtsaußen,VfB Stuttgart,Raphael Wolf,0:0,45',SV Werder Bremen,VfB Stuttgart,1:1 ,2013/2014,0
28,Filip Daems,Linker Verteidiger,Borussia Mönchengladbach,René Adler,0:1,36',Borussia Mönchengladbach,Hamburger SV,3:1 ,2013/2014,0
30,Klaas-Jan Huntelaar,Mittelstürmer,FC Schalke 04,Kevin Trapp,1:0,66',FC Schalke 04,Eintracht Frankfurt,2:0 ,2013/2014,0
28,Julian Schuster,Defensives Mittelfeld,SC Freiburg,Ralf Fährmann,0:0,58',FC Schalke 04,SC Freiburg,0:0 ,2014/2015,0
30,Hakan Calhanoglu,Offensives Mittelfeld,Bayer 04 Leverkusen,Timo Horn,0:0,42',1.FC Köln,Bayer 04 Leverkusen,1:1 ,2014/2015,0
32,Paul Verhaegh,Rechter Verteidiger,FC Augsburg,Manuel Neuer,0:0,15',FC Bayern München,FC Augsburg,0:1 ,2014/2015,0
18,Jean-Kévin Augustin,Mittelstürmer,RasenBallsport Leipzig,Ralf Fährmann,0:0,37',RasenBallsport Leipzig,FC Schalke 04,3:1 ,2017/2018,0
20,Serge Gnabry,Rechtsaußen,TSG 1899 Hoffenheim,Sven Ulreich,0:0,3',FC Bayern München,TSG 1899 Hoffenheim,5:2 ,2017/2018,0
20,Thorgan Hazard,Linksaußen,Borussia Mönchengladbach,Lukas Hradecky,1:0,78',Eintracht Frankfurt,Borussia Mönchengladbach,2:0 ,2017/2018,0
22,Paul Verhaegh,Rechter Verteidiger,VfL Wolfsburg,Jiri Pavlenka,2:0,49',SV Werder Bremen,VfL Wolfsburg,3:1 ,2017/2018,0
23,Arjen Robben,Rechtsaußen,FC Bayern München,Koen Casteels,1:0,55',VfL Wolfsburg,FC Bayern München,1:2 ,2017/2018,0
23,Janik Haberer,Zentrales Mittelfeld,SC Freiburg,Jiri Pavlenka,1:0,88',SC Freiburg,SV Werder Bremen,1:0 ,2017/2018,0
25,Filip Kostic,Linkes Mittelfeld,Hamburger SV,Florian Müller,0:0,62',Hamburger SV,1.FSV Mainz 05,0:0 ,2017/2018,0
26,Robert Lewandowski,Mittelstürmer,FC Bayern München,Christian Mathenia,5:0,86',FC Bayern München,Hamburger SV,6:0 ,2017/2018,0
27,Paul Verhaegh,Rechter Verteidiger,VfL Wolfsburg,Ralf Fährmann,0:0,77',VfL Wolfsburg,FC Schalke 04,0:1 ,2017/2018,0
29,Nils Petersen,Mittelstürmer,SC Freiburg,Koen Casteels,0:2,90',SC Freiburg,VfL Wolfsburg,0:2 ,2017/2018,0
29,Steven Zuber,Linkes Mittelfeld,TSG 1899 Hoffenheim,Florian Müller,0:0,27',1.FSV Mainz 05,TSG 1899 Hoffenheim,0:1 ,2019/2020,0
30,Florian Niederlechner,Mittelstürmer,FC Augsburg,Timo Horn,0:0,27',FC Augsburg,1.FC Köln,1:1 ,2019/2020,0
31,Milot Rashica,Linksaußen,SV Werder Bremen,Leopold Zingerle,0:0,19',SC Paderborn 07,SV Werder Bremen,1:5 ,2019/2020,0
29,Hanno Behrens,Zentrales Mittelfeld,1.FC Nürnberg,Alexander Nübel,0:0,45',1.FC Nürnberg,FC Schalke 04,1:1 ,2018/2019,0
30,Dodi Lukebakio,Rechtsaußen,Fortuna Düsseldorf,Florian Müller,1:1,58',1.FSV Mainz 05,Fortuna Düsseldorf,3:1 ,2018/2019,0
31,Andrej Kramaric,Mittelstürmer,TSG 1899 Hoffenheim,Pavao Pervan,1:0,15',TSG 1899 Hoffenheim,VfL Wolfsburg,1:4 ,2018/2019,0
31,Tim Leibold,Linker Verteidiger,1.FC Nürnberg,Sven Ulreich,1:1,90',1.FC Nürnberg,FC Bayern München,1:1 ,2018/2019,0
33,Daniel Caligiuri,Rechtsaußen,FC Schalke 04,Lukas Hradecky,1:1,53',Bayer 04 Leverkusen,FC Schalke 04,1:1 ,2018/2019,0
33,Dodi Lukebakio,Rechtsaußen,Fortuna Düsseldorf,Marwin Hitz,2:1,59',Borussia Dortmund,Fortuna Düsseldorf,3:2 ,2018/2019,0
34,Bruma,Rechtsaußen,RasenBallsport Leipzig,Jiri Pavlenka,1:0,54',SV Werder Bremen,RasenBallsport Leipzig,2:1 ,2018/2019,0
18,Matheus Cunha,Mittelstürmer,Hertha BSC,Jiri Pavlenka,0:1,21',Hertha BSC,SV Werder Bremen,1:4 ,2020/2021,0
18,Nicolás González,Linksaußen,VfB Stuttgart,Florian Müller,2:1,45',SC Freiburg,VfB Stuttgart,2:1 ,2020/2021,0
18,Marcus Ingvartsen,Offensives Mittelfeld,1.FC Union Berlin,Rafal Gikiewicz,2:1,56',FC Augsburg,1.FC Union Berlin,2:1 ,2020/2021,0
18,Anthony Modeste,Mittelstürmer,1.FC Köln,Oliver Baumann,3:0,78',TSG 1899 Hoffenheim,1.FC Köln,3:0 ,2020/2021,0
19,Erling Haaland,Mittelstürmer,Borussia Dortmund,Rafal Gikiewicz,0:1,21',Borussia Dortmund,FC Augsburg,3:1 ,2020/2021,0
20,Robert Lewandowski,Mittelstürmer,FC Bayern München,Rune Jarstein,0:0,11',Hertha BSC,FC Bayern München,0:1 ,2020/2021,0
23,Nabil Bentaleb,Zentrales Mittelfeld,FC Schalke 04,Gregor Kobel,3:1,72',VfB Stuttgart,FC Schalke 04,5:1 ,2020/2021,0
25,Lars Stindl,Hängende Spitze,Borussia Mönchengladbach,Rafal Gikiewicz,0:0,38',FC Augsburg,Borussia Mönchengladbach,3:1 ,2020/2021,0
30,Philipp Förster,Offensives Mittelfeld,VfB Stuttgart,Koen Casteels,0:1,26',VfB Stuttgart,VfL Wolfsburg,1:3 ,2020/2021,0
30,Erling Haaland,Mittelstürmer,Borussia Dortmund,Andreas Luthe,0:0,27',Borussia Dortmund,1.FC Union Berlin,2:0 ,2020/2021,0
2,Hasan Salihamidzic,Rechtes Mittelfeld,FC Bayern München,Rein van Duijnhoven,0:3,41',VfL Bochum,FC Bayern München,0:3 ,2000/2001,0
2,Peter Wibran,Defensives Mittelfeld,FC Hansa Rostock,Oliver Reck,0:4,73',FC Hansa Rostock,FC Schalke 04,0:4 ,2000/2001,0
3,Andreas Möller,Offensives Mittelfeld,FC Schalke 04,Tomislav Piplica,3:0,70',FC Schalke 04,FC Energie Cottbus,3:0 ,2000/2001,0
8,Andreas Herzog,Offensives Mittelfeld,SV Werder Bremen,Pascal Zuberbühler,2:3,88',SV Werder Bremen,Bayer 04 Leverkusen,3:3 ,2000/2001,0
15,Torsten Frings,Defensives Mittelfeld,SV Werder Bremen,Diego Benaglio,0:0,74',VfL Wolfsburg,SV Werder Bremen,0:0 ,2010/2011,0
11,Levan Kobiashvili,Linkes Mittelfeld,SC Freiburg,Hans Jörg Butt,4:0,49',Hamburger SV,SC Freiburg,5:0 ,2000/2001,0
12,Thomas Häßler,Offensives Mittelfeld,TSV 1860 München,Claus Reitmaier,0:1,24',TSV 1860 München,VfL Wolfsburg,2:2 ,2000/2001,0
12,Vasile Miriuta,Offensives Mittelfeld,FC Energie Cottbus,Timo Hildebrand,1:1,39',FC Energie Cottbus,VfB Stuttgart,2:1 ,2000/2001,0
16,Ulf Kirsten,Mittelstürmer,Bayer 04 Leverkusen,Gábor Király,3:0,72',Bayer 04 Leverkusen,Hertha BSC,4:0 ,2000/2001,0
15,Edin Dzeko,Mittelstürmer,VfL Wolfsburg,Tim Wiese,0:0,77',VfL Wolfsburg,SV Werder Bremen,0:0 ,2010/2011,0
16,Klaas-Jan Huntelaar,Mittelstürmer,FC Schalke 04,Christian Wetklo,0:0,8',1.FSV Mainz 05,FC Schalke 04,0:1 ,2010/2011,0
16,André Schürrle,Linksaußen,1.FSV Mainz 05,Manuel Neuer,0:1,73',1.FSV Mainz 05,FC Schalke 04,0:1 ,2010/2011,0
22,Laurentiu Reghecampf,Rechtes Mittelfeld,FC Energie Cottbus,Richard Golz,0:1,67',FC Energie Cottbus,SC Freiburg,0:2 ,2000/2001,0
23,Horst Heldt,Offensives Mittelfeld,Eintracht Frankfurt,Frank Rost,0:1,52',Eintracht Frankfurt,SV Werder Bremen,1:2 ,2000/2001,0
18,Papiss Demba Cissé,Mittelstürmer,SC Freiburg,Thomas Kessler,0:0,11',FC St. Pauli,SC Freiburg,2:2 ,2010/2011,0
18,Philipp Lahm,Rechter Verteidiger,FC Bayern München,Diego Benaglio,0:1,21',VfL Wolfsburg,FC Bayern München,1:1 ,2010/2011,0
18,Grafite,Mittelstürmer,VfL Wolfsburg,Thomas Kraft,0:1,45',VfL Wolfsburg,FC Bayern München,1:1 ,2010/2011,0
18,Javier Pinola,Innenverteidiger,1.FC Nürnberg,Christofer Heimeroth,0:1,86',1.FC Nürnberg,Borussia Mönchengladbach,0:1 ,2010/2011,0
21,Diego,Offensives Mittelfeld,VfL Wolfsburg,Ron-Robert Zieler,1:0,78',Hannover 96,VfL Wolfsburg,1:0 ,2010/2011,0
24,Diego,Offensives Mittelfeld,VfL Wolfsburg,Logan Bailly,0:0,29',VfL Wolfsburg,Borussia Mönchengladbach,2:1 ,2010/2011,0
15,Anthony Modeste,Mittelstürmer,1.FC Köln,Marwin Hitz,0:0,58',1.FC Köln,FC Augsburg,0:1 ,2015/2016,0
16,Anthony Ujah,Mittelstürmer,SV Werder Bremen,Timo Horn,1:0,38',SV Werder Bremen,1.FC Köln,1:1 ,2015/2016,0
16,Pierre-Emerick Aubameyang,Mittelstürmer,Borussia Dortmund,Lukas Hradecky,1:1,45',Borussia Dortmund,Eintracht Frankfurt,4:1 ,2015/2016,0
26,Kevin Volland,Mittelstürmer,TSG 1899 Hoffenheim,Koen Casteels,1:0,57',TSG 1899 Hoffenheim,VfL Wolfsburg,1:0 ,2015/2016,0
31,Klaas-Jan Huntelaar,Mittelstürmer,FC Schalke 04,Bernd Leno,0:0,5',FC Schalke 04,Bayer 04 Leverkusen,2:3 ,2015/2016,0
31,Claudio Pizarro,Mittelstürmer,SV Werder Bremen,Jaroslav Drobny,2:0,57',Hamburger SV,SV Werder Bremen,2:1 ,2015/2016,0
32,Sandro Wagner,Mittelstürmer,SV Darmstadt 98,Lukas Hradecky,1:0,20',SV Darmstadt 98,Eintracht Frankfurt,1:2 ,2015/2016,0
32,Andrej Kramaric,Mittelstürmer,TSG 1899 Hoffenheim,Örjan Nyland,1:1,53',TSG 1899 Hoffenheim,FC Ingolstadt 04,2:1 ,2015/2016,0
17,Arie van Lent,Mittelstürmer,Borussia Mönchengladbach,Simon Jentzsch,2:2,53',TSV 1860 München,Borussia Mönchengladbach,2:2 ,2001/2002,0
19,Ewerthon,Mittelstürmer,Borussia Dortmund,Christian Fiedler,1:0,36',Borussia Dortmund,Hertha BSC,3:1 ,2001/2002,0
19,Paulo Rink,Mittelstürmer,1.FC Nürnberg,Richard Golz,2:0,69',SC Freiburg,1.FC Nürnberg,2:0 ,2001/2002,0
20,Sergej Barbarez,Hängende Spitze,Hamburger SV,Simon Jentzsch,0:0,48',Hamburger SV,TSV 1860 München,2:1 ,2001/2002,0
22,Levan Tskitishvili,Linkes Mittelfeld,SC Freiburg,Mathias Schober,3:0,64',FC Hansa Rostock,SC Freiburg,4:0 ,2001/2002,0
24,Krasimir Balakov,Offensives Mittelfeld,VfB Stuttgart,Perry Bräutigam,1:0,53',FC Hansa Rostock,VfB Stuttgart,1:1 ,2001/2002,0
24,Oliver Kahn,Torwart,FC Bayern München,Tomislav Piplica,6:0,90',FC Bayern München,FC Energie Cottbus,6:0 ,2001/2002,0
26,Michael Tarnat,Linker Verteidiger,FC Bayern München,Simon Jentzsch,0:0,31',FC Bayern München,TSV 1860 München,2:1 ,2001/2002,0
26,Ulf Kirsten,Mittelstürmer,Bayer 04 Leverkusen,Tomislav Piplica,1:0,56',Bayer 04 Leverkusen,FC Energie Cottbus,2:0 ,2001/2002,0
26,Viktor Skrypnyk,Linker Verteidiger,SV Werder Bremen,Darius Kampa,0:4,84',1.FC Nürnberg,SV Werder Bremen,0:4 ,2001/2002,0
24,Lukas Podolski,Hängende Spitze,FC Bayern München,Daniel Fernandes,0:1,48',VfL Bochum,FC Bayern München,0:3 ,2008/2009,0
26,Diego,Offensives Mittelfeld,SV Werder Bremen,Robert Enke,1:0,61',SV Werder Bremen,Hannover 96,4:1 ,2008/2009,0
