matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
24,Laurentiu Reghecampf,Rechtes Mittelfeld,Alemannia Aachen,Dimo Wache,2:1,65',Alemannia Aachen,1.FSV Mainz 05,2:1 ,2006/2007,0
24,Mohamed Zidan,Hängende Spitze,1.FSV Mainz 05,Stephan Straub,2:1,84',Alemannia Aachen,1.FSV Mainz 05,2:1 ,2006/2007,0
25,Jan Schlaudraff,Hängende Spitze,Alemannia Aachen,Tomislav Piplica,0:1,37',FC Energie Cottbus,Alemannia Aachen,0:2 ,2006/2007,0
25,Rafael van der Vaart,Offensives Mittelfeld,Hamburger SV,René Adler,0:0,71',Hamburger SV,Bayer 04 Leverkusen,0:0 ,2006/2007,0
29,Marko Pantelic,Mittelstürmer,Hertha BSC,Jaroslav Drobny,1:0,34',VfL Bochum,Hertha BSC,1:3 ,2006/2007,0
23,Bernd Schneider,Rechtes Mittelfeld,Bayer 04 Leverkusen,Jakub Wierzchowski,1:0,14',Bayer 04 Leverkusen,SV Werder Bremen,3:0 ,2002/2003,0
24,Kevin Kuranyi,Mittelstürmer,VfB Stuttgart,Martin Pieckenhagen,1:0,35',VfB Stuttgart,Hamburger SV,1:1 ,2002/2003,0
25,Bernd Schneider,Rechtes Mittelfeld,Bayer 04 Leverkusen,Claus Reitmaier,0:0,9',Bayer 04 Leverkusen,VfL Wolfsburg,1:1 ,2002/2003,0
25,Gheorghe Popescu,Innenverteidiger,Hannover 96,Jens Lehmann,0:0,12',Borussia Dortmund,Hannover 96,2:0 ,2002/2003,0
26,Kai Michalke,Linksaußen,1.FC Nürnberg,Thomas Ernst,0:0,26',VfB Stuttgart,1.FC Nürnberg,0:2 ,2002/2003,0
26,Fredi Bobic,Mittelstürmer,Hannover 96,Pascal Borel,1:1,57',SV Werder Bremen,Hannover 96,1:2 ,2002/2003,0
28,Jörg Böhme,Linkes Mittelfeld,FC Schalke 04,André Lenz,2:0,60',FC Schalke 04,FC Energie Cottbus,3:0 ,2002/2003,0
31,Konstantinos Konstantinidis,Innenverteidiger,Hannover 96,Timo Hildebrand,0:0,3',Hannover 96,VfB Stuttgart,1:2 ,2002/2003,0
34,Sergej Barbarez,Hängende Spitze,Hamburger SV,Mathias Schober,0:0,9',Hamburger SV,FC Hansa Rostock,2:0 ,2002/2003,0
26,Aílton,Mittelstürmer,SV Werder Bremen,Georg Koch,0:1,23',SV Werder Bremen,1.FC Kaiserslautern,1:2 ,2000/2001,0
29,Hans Jörg Butt,Torwart,Hamburger SV,Markus Pröll,0:1,53',Hamburger SV,1.FC Köln,1:1 ,2000/2001,0
29,Sergej Barbarez,Hängende Spitze,Hamburger SV,Markus Pröll,0:1,71',Hamburger SV,1.FC Köln,1:1 ,2000/2001,0
30,Alex Alves,Mittelstürmer,Hertha BSC,Oliver Reck,0:0,5',FC Schalke 04,Hertha BSC,3:1 ,2000/2001,0
32,Tomislav Piplica,Torwart,FC Energie Cottbus,Martin Pieckenhagen,1:0,45',FC Hansa Rostock,FC Energie Cottbus,1:0 ,2000/2001,0
34,Miroslav Stevic,Defensives Mittelfeld,Borussia Dortmund,Markus Pröll,2:2,53',Borussia Dortmund,1.FC Köln,3:3 ,2000/2001,0
27,Mario Basler,Rechtes Mittelfeld,1.FC Kaiserslautern,Oliver Kahn,0:0,12',1.FC Kaiserslautern,FC Bayern München,0:0 ,2001/2002,0
28,Marcelinho Paraíba,Offensives Mittelfeld,Hertha BSC,Darius Kampa,2:0,39',Hertha BSC,1.FC Nürnberg,2:0 ,2001/2002,0
29,Paulo Rink,Mittelstürmer,1.FC Nürnberg,Sead Ramovic,0:0,13',1.FC Nürnberg,VfL Wolfsburg,3:0 ,2001/2002,0
31,Vladimir But,Offensives Mittelfeld,SC Freiburg,Simon Jentzsch,4:2,84',TSV 1860 München,SC Freiburg,5:2 ,2001/2002,0
32,Thomas Meggle,Offensives Mittelfeld,FC St. Pauli,Martin Pieckenhagen,0:0,12',FC St. Pauli,Hamburger SV,0:4 ,2001/2002,0
32,Hans Jörg Butt,Torwart,Bayer 04 Leverkusen,Frank Rost,1:1,40',Bayer 04 Leverkusen,SV Werder Bremen,1:2 ,2001/2002,0
32,Miroslav Klose,Mittelstürmer,1.FC Kaiserslautern,Timo Reus,3:1,84',SC Freiburg,1.FC Kaiserslautern,3:1 ,2001/2002,0
34,Martin Max,Mittelstürmer,TSV 1860 München,Michael Melka,2:3,68',Borussia Mönchengladbach,TSV 1860 München,2:4 ,2001/2002,0
1,Stefan Kuntz,Mittelstürmer,VfL Bochum,Richard Golz,0:1,62',VfL Bochum,SC Freiburg,1:2 ,1998/1999,0
3,Anthony Yeboah,Mittelstürmer,Hamburger SV,Adam Matysek,0:0,26',Bayer 04 Leverkusen,Hamburger SV,1:2 ,1998/1999,0
3,Sasa Ciric,Mittelstürmer,1.FC Nürnberg,Stefan Klos,0:0,45',1.FC Nürnberg,Borussia Dortmund,0:0 ,1998/1999,0
4,Bernhard Winkler,Mittelstürmer,TSV 1860 München,Robert Enke,0:0,1',TSV 1860 München,Borussia Mönchengladbach,3:1 ,1998/1999,0
4,Olaf Marschall,Mittelstürmer,1.FC Kaiserslautern,Gábor Király,1:1,30',1.FC Kaiserslautern,Hertha BSC,4:3 ,1998/1999,0
7,Hans Jörg Butt,Torwart,Hamburger SV,Richard Golz,0:0,90',SC Freiburg,Hamburger SV,0:0 ,1998/1999,0
9,Marco Weißhaupt,Offensives Mittelfeld,SC Freiburg,Stefan Klos,1:0,20',SC Freiburg,Borussia Dortmund,2:2 ,1998/1999,0
14,Lars Hermel,Libero,SC Freiburg,Robert Enke,3:1,65',Borussia Mönchengladbach,SC Freiburg,3:1 ,1998/1999,0
15,Jörg Neun,Linker Verteidiger,MSV Duisburg,Adam Matysek,1:0,51',Bayer 04 Leverkusen,MSV Duisburg,2:0 ,1998/1999,0
16,Mario Basler,Rechtes Mittelfeld,FC Bayern München,Thomas Ernst,1:0,39',VfL Bochum,FC Bayern München,2:2 ,1998/1999,0
3,Daniel Borimirov,Zentrales Mittelfeld,TSV 1860 München,Andreas Köpke,2:1,53',Eintracht Frankfurt,TSV 1860 München,4:2 ,1995/1996,0
3,Jörg Albertz,Linkes Mittelfeld,Hamburger SV,Bodo Illgner,2:2,62',1.FC Köln,Hamburger SV,3:2 ,1995/1996,0
5,Carsten Pröpper,Offensives Mittelfeld,FC St. Pauli,Stefan Klos,0:0,35',FC St. Pauli,Borussia Dortmund,0:3 ,1995/1996,0
10,Horst Steffen,Zentrales Mittelfeld,KFC Uerdingen 05,Perry Bräutigam,1:1,57',KFC Uerdingen 05,FC Hansa Rostock,1:1 ,1995/1996,0
11,Mario Basler,Rechtes Mittelfeld,SV Werder Bremen,Klaus Thomforde,0:0,29',SV Werder Bremen,FC St. Pauli,1:1 ,1995/1996,0
11,Klaus Thomforde,Torwart,FC St. Pauli,Frank Rost,1:0,61',SV Werder Bremen,FC St. Pauli,1:1 ,1995/1996,0
16,Paulo Sérgio,Linksaußen,Bayer 04 Leverkusen,Jörg Schmadtke,0:1,90',Bayer 04 Leverkusen,SC Freiburg,0:1 ,1995/1996,0
18,Bernhard Winkler,Mittelstürmer,TSV 1860 München,Klaus Thomforde,2:0,77',TSV 1860 München,FC St. Pauli,2:0 ,1995/1996,0
23,Michael Anicic,Offensives Mittelfeld,Eintracht Frankfurt,Dirk Heinen,0:0,17',Eintracht Frankfurt,Bayer 04 Leverkusen,1:1 ,1995/1996,0
26,Andreas Brehme,Linker Verteidiger,1.FC Kaiserslautern,Jens Lehmann,0:0,65',1.FC Kaiserslautern,FC Schalke 04,0:0 ,1995/1996,0
24,Ömer Toprak,Innenverteidiger,Bayer 04 Leverkusen,Felix Wiedwald,1:1,90',Bayer 04 Leverkusen,SV Werder Bremen,1:1 ,2016/2017,0
26,Nils Petersen,Mittelstürmer,SC Freiburg,Felix Wiedwald,1:3,64',SC Freiburg,SV Werder Bremen,2:5 ,2016/2017,0
26,Marco Fabián,Offensives Mittelfeld,Eintracht Frankfurt,Yann Sommer,0:0,78',Eintracht Frankfurt,Borussia Mönchengladbach,0:0 ,2016/2017,0
29,Guido Burgstaller,Mittelstürmer,FC Schalke 04,Michael Esser,1:0,58',SV Darmstadt 98,FC Schalke 04,2:1 ,2016/2017,0
32,Pierre-Emerick Aubameyang,Mittelstürmer,Borussia Dortmund,Oliver Baumann,1:0,14',Borussia Dortmund,TSG 1899 Hoffenheim,2:1 ,2016/2017,0
32,Hamit Altintop,Rechtes Mittelfeld,SV Darmstadt 98,Tom Starke,1:0,86',FC Bayern München,SV Darmstadt 98,1:0 ,2016/2017,0
34,Darío Lezcano,Mittelstürmer,FC Ingolstadt 04,Ralf Fährmann,1:1,64',FC Ingolstadt 04,FC Schalke 04,1:1 ,2016/2017,0
4,Peter Közle,Mittelstürmer,MSV Duisburg,Oliver Kahn,0:0,4',MSV Duisburg,FC Bayern München,0:3 ,1994/1995,0
9,Michael Zorc,Defensives Mittelfeld,Borussia Dortmund,Claus Reitmaier,0:0,70',Karlsruher SC,Borussia Dortmund,0:0 ,1994/1995,0
14,Ludwig Kögl,Linkes Mittelfeld,VfB Stuttgart,Andreas Wessels,2:1,86',VfB Stuttgart,VfL Bochum,2:2 ,1994/1995,0
16,Harald Spörl,Rechtes Mittelfeld,Hamburger SV,Andreas Köpke,1:0,63',Eintracht Frankfurt,Hamburger SV,2:0 ,1994/1995,0
20,Ludwig Kögl,Linkes Mittelfeld,VfB Stuttgart,Bodo Illgner,0:0,68',1.FC Köln,VfB Stuttgart,1:0 ,1994/1995,0
24,Michael Spies,Offensives Mittelfeld,SG Dynamo Dresden,Bernd Meier,0:0,13',TSV 1860 München,SG Dynamo Dresden,3:1 ,1994/1995,0
24,Paulo Sérgio,Linksaußen,Bayer 04 Leverkusen,Eike Immel,4:2,75',VfB Stuttgart,Bayer 04 Leverkusen,4:2 ,1994/1995,0
26,Michael Zorc,Defensives Mittelfeld,Borussia Dortmund,Claus Reitmaier,2:1,89',Borussia Dortmund,Karlsruher SC,2:1 ,1994/1995,0
27,Martin Braun,Rechtes Mittelfeld,SC Freiburg,Bernd Meier,0:0,25',SC Freiburg,TSV 1860 München,1:1 ,1994/1995,0
28,Stefan Kuntz,Mittelstürmer,1.FC Kaiserslautern,Andreas Wessels,2:0,45',1.FC Kaiserslautern,VfL Bochum,3:1 ,1994/1995,0
18,Torsten Frings,Defensives Mittelfeld,Borussia Dortmund,Frank Rost,0:0,74',Borussia Dortmund,FC Schalke 04,0:1 ,2003/2004,0
22,Martin Max,Mittelstürmer,FC Hansa Rostock,Rein van Duijnhoven,0:0,25',VfL Bochum,FC Hansa Rostock,0:0 ,2003/2004,0
25,Aílton,Mittelstürmer,SV Werder Bremen,Sead Ramovic,0:0,67',VfL Wolfsburg,SV Werder Bremen,0:2 ,2003/2004,0
32,Dimitar Berbatov,Mittelstürmer,Bayer 04 Leverkusen,Alexander Bade,2:0,85',Bayer 04 Leverkusen,1.FC Köln,2:0 ,2003/2004,0
32,Dimitar Berbatov,Mittelstürmer,Bayer 04 Leverkusen,Alexander Bade,2:0,85',Bayer 04 Leverkusen,1.FC Köln,2:0 ,2003/2004,0
33,Francis Kioyo,Mittelstürmer,TSV 1860 München,Christian Fiedler,1:1,89',TSV 1860 München,Hertha BSC,1:1 ,2003/2004,0
34,Hans Jörg Butt,Torwart,Bayer 04 Leverkusen,Timo Hildebrand,2:0,85',Bayer 04 Leverkusen,VfB Stuttgart,2:0 ,2003/2004,0
2,Matthias Maucksch,Libero,SG Dynamo Dresden,Jürgen Rollmann,0:0,84',SG Dynamo Dresden,MSV Duisburg,0:1 ,1993/1994,0
4,Wolfgang Funkel,Innenverteidiger,1.FC Kaiserslautern,Oliver Reck,0:0,36',1.FC Kaiserslautern,SV Werder Bremen,2:3 ,1993/1994,0
4,Olaf Thon,Zentrales Mittelfeld,FC Bayern München,Eike Immel,2:2,60',VfB Stuttgart,FC Bayern München,2:2 ,1993/1994,0
4,Detlef Schößler,Innenverteidiger,SG Dynamo Dresden,Ralf Eilenberger,1:1,77',SG Dynamo Dresden,SG Wattenscheid 09,1:1 ,1993/1994,0
5,Knut Reinhardt,Linkes Mittelfeld,Borussia Dortmund,Stanislav Cherchesov,0:0,34',Borussia Dortmund,SG Dynamo Dresden,4:0 ,1993/1994,0
13,Dirk Anders,Offensives Mittelfeld,VfB Leipzig,Andreas Köpke,1:0,22',1.FC Nürnberg,VfB Leipzig,5:0 ,1993/1994,0
15,Rodolfo Cardoso,Offensives Mittelfeld,SC Freiburg,Eike Immel,2:1,41',SC Freiburg,VfB Stuttgart,2:1 ,1993/1994,0
18,Ingo Anderbrügge,Linkes Mittelfeld,FC Schalke 04,Udo Mai,2:1,48',FC Schalke 04,SG Wattenscheid 09,4:1 ,1993/1994,0
32,Thomas von Heesen,Offensives Mittelfeld,Hamburger SV,Uwe Kamps,0:0,41',Hamburger SV,Borussia Mönchengladbach,1:3 ,1993/1994,0
33,Rodolfo Cardoso,Offensives Mittelfeld,SC Freiburg,Ingo Saager,1:0,88',SC Freiburg,VfB Leipzig,1:0 ,1993/1994,0
33,Diego,Offensives Mittelfeld,SV Werder Bremen,Robert Enke,4:0,80',SV Werder Bremen,Hannover 96,6:1 ,2007/2008,0
33,Szabolcs Huszti,Zentrales Mittelfeld,Hannover 96,Tim Wiese,6:0,90',SV Werder Bremen,Hannover 96,6:1 ,2007/2008,0
34,Alex Frei,Mittelstürmer,Borussia Dortmund,Diego Benaglio,1:2,42',Borussia Dortmund,VfL Wolfsburg,2:4 ,2007/2008,0
4,Rainer Schütterle,Offensives Mittelfeld,Karlsruher SC,Udo Mai,1:1,48',SG Wattenscheid 09,Karlsruher SC,1:1 ,1991/1992,0
4,Marcus Marin,Mittelstürmer,Stuttgarter Kickers,Gerry Ehrmann,3:2,63',1.FC Kaiserslautern,Stuttgarter Kickers,4:3 ,1991/1992,0
4,Stefan Effenberg,Zentrales Mittelfeld,FC Bayern München,Jens Lehmann,3:2,80',FC Bayern München,FC Schalke 04,3:2 ,1991/1992,0
5,Christian Schreier,Offensives Mittelfeld,Fortuna Düsseldorf,Eike Immel,0:2,70',Fortuna Düsseldorf,VfB Stuttgart,0:3 ,1991/1992,0
8,Michael Spies,Offensives Mittelfeld,FC Hansa Rostock,Heribert Macherey,2:0,62',MSV Duisburg,FC Hansa Rostock,2:0 ,1991/1992,0
9,Kay Friedmann,Innenverteidiger,1.FC Nürnberg,Ulrich Stein,2:2,80',Eintracht Frankfurt,1.FC Nürnberg,2:2 ,1991/1992,0
10,Jörg Dittwar,Defensives Mittelfeld,1.FC Nürnberg,Claus Reitmaier,1:0,74',1.FC Nürnberg,Stuttgarter Kickers,2:0 ,1991/1992,0
11,Torsten Gütschow,Mittelstürmer,SG Dynamo Dresden,Heribert Macherey,0:0,75',SG Dynamo Dresden,MSV Duisburg,0:0 ,1991/1992,0
15,Olaf Thon,Zentrales Mittelfeld,FC Bayern München,Uwe Kamps,1:0,38',FC Bayern München,Borussia Mönchengladbach,3:0 ,1991/1992,0
15,Jens Wahl,Defensives Mittelfeld,FC Hansa Rostock,Ralf Zumdick,3:0,58',VfL Bochum,FC Hansa Rostock,3:2 ,1991/1992,0
7,Henryk Baluszynski,Mittelstürmer,VfL Bochum,Uwe Zimmermann,1:0,17',VfL Bochum,VfL Wolfsburg,2:1 ,1997/1998,0
9,Stéphane Chapuisat,Mittelstürmer,Borussia Dortmund,Zdenko Miletic,1:1,70',Arminia Bielefeld,Borussia Dortmund,3:1 ,1997/1998,0
11,Toni Polster,Mittelstürmer,1.FC Köln,Uwe Gospodarek,1:0,62',VfL Bochum,1.FC Köln,2:1 ,1997/1998,0
12,Claudio Reyna,Zentrales Mittelfeld,VfL Wolfsburg,Zdenko Miletic,2:0,87',VfL Wolfsburg,Arminia Bielefeld,2:0 ,1997/1998,0
13,Michael Zeyer,Zentrales Mittelfeld,MSV Duisburg,Uwe Kamps,3:4,84',MSV Duisburg,Borussia Mönchengladbach,4:5 ,1997/1998,0
14,Chad Deering,Defensives Mittelfeld,VfL Wolfsburg,Thomas Gill,0:0,8',VfL Wolfsburg,MSV Duisburg,0:2 ,1997/1998,0
24,Jens Keller,Innenverteidiger,VfL Wolfsburg,Thomas Ernst,0:1,75',VfL Wolfsburg,VfL Bochum,0:2 ,1997/1998,0
25,René Tretschok,Defensives Mittelfeld,1.FC Köln,Gábor Király,1:0,52',1.FC Köln,Hertha BSC,2:0 ,1997/1998,0
26,Detlev Dammeier,Defensives Mittelfeld,VfL Wolfsburg,Claus Reitmaier,1:2,85',VfL Wolfsburg,Karlsruher SC,1:2 ,1997/1998,0
31,Kai Michalke,Linksaußen,VfL Bochum,Franz Wohlfahrt,0:0,83',VfB Stuttgart,VfL Bochum,2:0 ,1997/1998,0
1,Fritz Walter,Mittelstürmer,VfB Stuttgart,Richard Golz,0:0,60',Hamburger SV,VfB Stuttgart,1:1 ,1992/1993,0
4,Fritz Walter,Mittelstürmer,VfB Stuttgart,Oliver Kahn,0:0,25',VfB Stuttgart,Karlsruher SC,2:1 ,1992/1993,0
7,Dirk Fengler,Rechtes Mittelfeld,1.FC Nürnberg,Jens Lehmann,0:0,19',FC Schalke 04,1.FC Nürnberg,0:0 ,1992/1993,0
8,Thomas Strunz,Defensives Mittelfeld,VfB Stuttgart,Gerry Ehrmann,1:0,57',VfB Stuttgart,1.FC Kaiserslautern,3:1 ,1992/1993,0
9,Souleyman Sané,Mittelstürmer,SG Wattenscheid 09,Stefan Klos,1:2,36',SG Wattenscheid 09,Borussia Dortmund,1:3 ,1992/1993,0
10,Michael Zorc,Defensives Mittelfeld,Borussia Dortmund,Richard Golz,1:1,65',Borussia Dortmund,Hamburger SV,3:1 ,1992/1993,0
11,Frank Heinemann,Defensives Mittelfeld,VfL Bochum,Bernd Dreher,2:1,90',KFC Uerdingen 05,VfL Bochum,2:1 ,1992/1993,0
12,Hans Dorfner,Offensives Mittelfeld,1.FC Nürnberg,Bodo Illgner,0:1,41',1.FC Nürnberg,1.FC Köln,2:1 ,1992/1993,0
13,Martin Wagner,Linkes Mittelfeld,1.FC Kaiserslautern,Holger Gehrke,1:0,41',1.FC Kaiserslautern,FC Schalke 04,3:0 ,1992/1993,0
16,Hans-Jörg Criens,Mittelstürmer,Borussia Mönchengladbach,Andreas Köpke,0:1,83',1.FC Nürnberg,Borussia Mönchengladbach,0:1 ,1992/1993,0
31,Filip Daems,Linker Verteidiger,Borussia Mönchengladbach,Oliver Baumann,1:1,65',SC Freiburg,Borussia Mönchengladbach,4:2 ,2013/2014,0
31,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Raphael Wolf,2:1,86',SV Werder Bremen,TSG 1899 Hoffenheim,3:1 ,2013/2014,0
32,Roberto Firmino,Mittelstürmer,TSG 1899 Hoffenheim,Kevin Trapp,0:0,85',TSG 1899 Hoffenheim,Eintracht Frankfurt,0:0 ,2013/2014,0
17,Toni Polster,Mittelstürmer,Borussia Mönchengladbach,Stefan Klos,1:1,24',Borussia Dortmund,Borussia Mönchengladbach,1:1 ,1998/1999,0
17,Thomas Häßler,Offensives Mittelfeld,Borussia Dortmund,Robert Enke,1:1,78',Borussia Dortmund,Borussia Mönchengladbach,1:1 ,1998/1999,0
22,Marco Weißhaupt,Offensives Mittelfeld,SC Freiburg,Martin Pieckenhagen,1:0,62',SC Freiburg,FC Hansa Rostock,3:0 ,1998/1999,0
23,Thomas Gravesen,Defensives Mittelfeld,Hamburger SV,Martin Pieckenhagen,0:1,34',FC Hansa Rostock,Hamburger SV,0:1 ,1998/1999,0
24,Bernhard Winkler,Mittelstürmer,TSV 1860 München,Andreas Köpke,0:1,34',TSV 1860 München,1.FC Nürnberg,1:2 ,1998/1999,0
24,Thomas Reis,Linker Verteidiger,VfL Bochum,Oka Nikolov,0:0,56',Eintracht Frankfurt,VfL Bochum,1:0 ,1998/1999,0
24,Lars Ricken,Offensives Mittelfeld,Borussia Dortmund,Oliver Kahn,2:2,77',Borussia Dortmund,FC Bayern München,2:2 ,1998/1999,0
25,Michael Preetz,Mittelstürmer,Hertha BSC,Franz Wohlfahrt,0:0,47',Hertha BSC,VfB Stuttgart,2:0 ,1998/1999,0
25,Marco Weißhaupt,Offensives Mittelfeld,SC Freiburg,Frank Rost,0:2,84',SC Freiburg,SV Werder Bremen,0:2 ,1998/1999,0
26,Ansgar Brinkmann,Rechtes Mittelfeld,Eintracht Frankfurt,Claus Reitmaier,0:1,43',Eintracht Frankfurt,VfL Wolfsburg,0:1 ,1998/1999,0
28,Horst Heldt,Offensives Mittelfeld,TSV 1860 München,Alexander Bade,0:0,33',TSV 1860 München,KFC Uerdingen 05,2:1 ,1995/1996,0
29,Rudi Völler,Mittelstürmer,Bayer 04 Leverkusen,Richard Golz,0:0,17',Hamburger SV,Bayer 04 Leverkusen,2:2 ,1995/1996,0
30,Dirk Dammann,Libero,FC St. Pauli,Jens Lehmann,2:0,16',FC St. Pauli,FC Schalke 04,2:0 ,1995/1996,0
30,Frank Greiner,Rechtes Mittelfeld,1.FC Kaiserslautern,Alexander Bade,3:0,83',1.FC Kaiserslautern,KFC Uerdingen 05,3:0 ,1995/1996,0
32,Ingo Anderbrügge,Linkes Mittelfeld,FC Schalke 04,Andreas Köpke,0:1,51',Eintracht Frankfurt,FC Schalke 04,0:3 ,1995/1996,0
32,Stéphane Chapuisat,Mittelstürmer,Borussia Dortmund,Bernd Dreher,5:0,75',Borussia Dortmund,KFC Uerdingen 05,5:0 ,1995/1996,0
28,Giovane Elber,Mittelstürmer,VfB Stuttgart,Oliver Kahn,0:1,73',VfB Stuttgart,FC Bayern München,0:2 ,1994/1995,0
32,Christian Ziege,Linkes Mittelfeld,FC Bayern München,Dirk Heinen,1:0,81',Bayer 04 Leverkusen,FC Bayern München,2:0 ,1994/1995,0
32,Andreas Brehme,Linker Verteidiger,1.FC Kaiserslautern,Richard Golz,3:1,88',1.FC Kaiserslautern,Hamburger SV,4:1 ,1994/1995,0
33,Thomas Kastenmaier,Rechter Verteidiger,Borussia Mönchengladbach,Eike Immel,1:1,50',Borussia Mönchengladbach,VfB Stuttgart,3:1 ,1994/1995,0
1,Pierre Littbarski,Offensives Mittelfeld,1.FC Köln,Jörg Schmadtke,0:0,42',1.FC Köln,Fortuna Düsseldorf,1:1 ,1990/1991,0
3,Jan Furtok,Mittelstürmer,Hamburger SV,Andreas Wessels,0:0,25',Hamburger SV,VfL Bochum,1:0 ,1990/1991,0
4,Gerhard Kleppinger,Innenverteidiger,KFC Uerdingen 05,Klaus Thomforde,0:0,23',FC St. Pauli,KFC Uerdingen 05,1:1 ,1990/1991,0
4,Michael Frontzeck,Linker Verteidiger,VfB Stuttgart,Andreas Köpke,2:1,58',VfB Stuttgart,1.FC Nürnberg,2:1 ,1990/1991,0
4,Franco Foda,Libero,Bayer 04 Leverkusen,Ralf Eilenberger,1:1,67',Bayer 04 Leverkusen,SG Wattenscheid 09,2:1 ,1990/1991,0
5,Uwe Bein,Offensives Mittelfeld,Eintracht Frankfurt,Oliver Reck,0:0,16',Eintracht Frankfurt,SV Werder Bremen,0:0 ,1990/1991,0
8,Jörg Dittwar,Defensives Mittelfeld,1.FC Nürnberg,Andreas Wessels,0:0,19',VfL Bochum,1.FC Nürnberg,0:0 ,1990/1991,0
9,Uli Borowka,Innenverteidiger,SV Werder Bremen,Andreas Köpke,0:1,26',1.FC Nürnberg,SV Werder Bremen,2:3 ,1990/1991,0
9,Fritz Walter,Mittelstürmer,VfB Stuttgart,Alexander Famulla,1:2,60',VfB Stuttgart,Karlsruher SC,2:2 ,1990/1991,0
15,Michael Zorc,Defensives Mittelfeld,Borussia Dortmund,Bernd Dreher,0:0,23',KFC Uerdingen 05,Borussia Dortmund,1:3 ,1990/1991,0
5,Frank Ordenewitz,Mittelstürmer,SV Werder Bremen,Werner Vollack,1:2,88',KFC Uerdingen 05,SV Werder Bremen,1:2 ,1987/1988,0
8,Jörg Neun,Linker Verteidiger,SV Waldhof Mannheim,Hans-Jürgen Gundelach,2:0,28',Eintracht Frankfurt,SV Waldhof Mannheim,5:1 ,1987/1988,0
11,Wolfram Wuttke,Hängende Spitze,1.FC Kaiserslautern,Rüdiger Vollborn,1:0,37',Bayer 04 Leverkusen,1.FC Kaiserslautern,2:0 ,1987/1988,0
11,Christian Schreier,Offensives Mittelfeld,Bayer 04 Leverkusen,Gerry Ehrmann,1:0,54',Bayer 04 Leverkusen,1.FC Kaiserslautern,2:0 ,1987/1988,0
12,Frank Ordenewitz,Mittelstürmer,SV Werder Bremen,Andreas Köpke,0:0,42',SV Werder Bremen,1.FC Nürnberg,1:0 ,1987/1988,0
13,Stephan Engels,Defensives Mittelfeld,1.FC Köln,Hans-Jürgen Gundelach,0:0,12',Eintracht Frankfurt,1.FC Köln,1:1 ,1987/1988,0
14,Lothar Woelk,Libero,VfL Bochum,Jean-Marie Pfaff,0:0,17',VfL Bochum,FC Bayern München,0:2 ,1987/1988,0
15,Stefan Reuter,Rechtes Mittelfeld,1.FC Nürnberg,Alexander Famulla,2:0,54',1.FC Nürnberg,Karlsruher SC,4:0 ,1987/1988,0
17,Frank Pagelsdorf,Mittelfeld,Borussia Dortmund,Heinz-Josef Koitka,2:2,41',Borussia Dortmund,Hamburger SV,2:3 ,1987/1988,0
17,Frank Schulz,Offensives Mittelfeld,Eintracht Frankfurt,Alexander Famulla,4:0,90',Eintracht Frankfurt,Karlsruher SC,4:0 ,1987/1988,0
4,Christian Schreier,Offensives Mittelfeld,Bayer 04 Leverkusen,Wolfgang de Beer,0:0,57',Bayer 04 Leverkusen,Borussia Dortmund,2:0 ,1988/1989,0
5,Martin Kree,Innenverteidiger,VfL Bochum,Andreas Köpke,3:1,88',1.FC Nürnberg,VfL Bochum,3:1 ,1988/1989,0
6,Martin Kree,Innenverteidiger,VfL Bochum,Uwe Zimmermann,0:1,27',VfL Bochum,SV Waldhof Mannheim,2:2 ,1988/1989,0
6,Bernd Grabosch,Mittelfeld,Stuttgarter Kickers,Gerry Ehrmann,5:0,75',1.FC Kaiserslautern,Stuttgarter Kickers,6:0 ,1988/1989,0
8,Waldemar Steubing,Mittelstürmer,FC St. Pauli,Rüdiger Vollborn,2:1,57',Bayer 04 Leverkusen,FC St. Pauli,2:2 ,1988/1989,0
9,Pierre Littbarski,Offensives Mittelfeld,1.FC Köln,Rüdiger Vollborn,0:0,32',1.FC Köln,Bayer 04 Leverkusen,3:0 ,1988/1989,0
9,Holger Fach,Libero,KFC Uerdingen 05,Gerry Ehrmann,3:1,64',KFC Uerdingen 05,1.FC Kaiserslautern,3:1 ,1988/1989,0
10,Christian Schreier,Offensives Mittelfeld,Bayer 04 Leverkusen,Manfred Kubik,0:2,60',Bayer 04 Leverkusen,KFC Uerdingen 05,2:2 ,1988/1989,0
12,Herbert Waas,Mittelstürmer,Bayer 04 Leverkusen,Ralf Zumdick,0:0,27',Bayer 04 Leverkusen,VfL Bochum,1:1 ,1988/1989,0
14,Zvjezdan Cvetkovic,Libero,SV Waldhof Mannheim,Richard Golz,1:0,20',Hamburger SV,SV Waldhof Mannheim,5:1 ,1988/1989,0
31,Laurentiu Reghecampf,Rechtes Mittelfeld,Alemannia Aachen,Christian Fiedler,0:1,16',Alemannia Aachen,Hertha BSC,0:4 ,2006/2007,0
4,Klaus Allofs,Mittelstürmer,1.FC Köln,Rüdiger Vollborn,0:2,44',1.FC Köln,Bayer 04 Leverkusen,1:4 ,1986/1987,0
4,Roland Grahammer,Rechter Verteidiger,1.FC Nürnberg,Jean-Marie Pfaff,1:2,58',1.FC Nürnberg,FC Bayern München,1:2 ,1986/1987,0
