matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
4,Ricardo Rodríguez,Linker Verteidiger,VfL Wolfsburg,Bernd Leno,1:0,8',VfL Wolfsburg,Bayer 04 Leverkusen,4:1 ,2014/2015,1
4,Eric Maxim Choupo-Moting,Mittelstürmer,FC Schalke 04,Kevin Trapp,1:2,40',FC Schalke 04,Eintracht Frankfurt,2:2 ,2014/2015,1
2,Andrej Kramaric,Mittelstürmer,TSG 1899 Hoffenheim,Manuel Neuer,4:1,90',TSG 1899 Hoffenheim,FC Bayern München,4:1 ,2020/2021,1
3,Lars Stindl,Hängende Spitze,Borussia Mönchengladbach,Timo Horn,0:3,56',1.FC Köln,Borussia Mönchengladbach,1:3 ,2020/2021,1
3,Marcel Halstenberg,Linker Verteidiger,RasenBallsport Leipzig,Ralf Fährmann,4:0,80',RasenBallsport Leipzig,FC Schalke 04,4:0 ,2020/2021,1
3,Robert Lewandowski,Mittelstürmer,FC Bayern München,Alexander Schwolow,4:3,90',FC Bayern München,Hertha BSC,4:3 ,2020/2021,1
3,Yunus Malli,Offensives Mittelfeld,VfL Wolfsburg,Rune Jarstein,1:1,87',VfL Wolfsburg,Hertha BSC,2:2 ,2018/2019,1
3,Dodi Lukebakio,Rechtsaußen,Fortuna Düsseldorf,Oliver Baumann,2:1,88',Fortuna Düsseldorf,TSG 1899 Hoffenheim,2:1 ,2018/2019,1
4,Thorgan Hazard,Linksaußen,Borussia Mönchengladbach,Rune Jarstein,0:1,29',Hertha BSC,Borussia Mönchengladbach,4:2 ,2018/2019,1
4,Emil Forsberg,Linksaußen,RasenBallsport Leipzig,Kevin Trapp,1:1,54',Eintracht Frankfurt,RasenBallsport Leipzig,1:1 ,2018/2019,1
4,Robert Lewandowski,Mittelstürmer,FC Bayern München,Ralf Fährmann,0:2,64',FC Schalke 04,FC Bayern München,0:2 ,2018/2019,1
4,Paul Verhaegh,Rechter Verteidiger,FC Augsburg,Raphael Wolf,2:1,45',FC Augsburg,SV Werder Bremen,4:2 ,2014/2015,1
4,Franco Di Santo,Mittelstürmer,SV Werder Bremen,Marwin Hitz,2:2,56',FC Augsburg,SV Werder Bremen,4:2 ,2014/2015,1
5,Vladimir Darida,Zentrales Mittelfeld,SC Freiburg,Oliver Baumann,2:3,75',TSG 1899 Hoffenheim,SC Freiburg,3:3 ,2014/2015,1
6,Paul Verhaegh,Rechter Verteidiger,FC Augsburg,Thomas Kraft,1:0,27',FC Augsburg,Hertha BSC,1:0 ,2014/2015,1
7,Vladimir Darida,Zentrales Mittelfeld,SC Freiburg,Raphael Wolf,0:1,8',SV Werder Bremen,SC Freiburg,1:1 ,2014/2015,1
1,Rafael van der Vaart,Offensives Mittelfeld,Hamburger SV,Timo Hildebrand,1:1,12',FC Schalke 04,Hamburger SV,3:3 ,2013/2014,1
1,Alexander Meier,Hängende Spitze,Eintracht Frankfurt,Thomas Kraft,2:1,37',Hertha BSC,Eintracht Frankfurt,6:1 ,2013/2014,1
1,David Alaba,Innenverteidiger,FC Bayern München,Marc-André ter Stegen,3:1,69',FC Bayern München,Borussia Mönchengladbach,3:1 ,2013/2014,1
1,Robert Lewandowski,Mittelstürmer,Borussia Dortmund,Mohamed Amsif,0:4,86',FC Augsburg,Borussia Dortmund,0:4 ,2013/2014,1
2,Rafael van der Vaart,Offensives Mittelfeld,Hamburger SV,Koen Casteels,1:1,44',Hamburger SV,TSG 1899 Hoffenheim,1:5 ,2013/2014,1
2,Filip Daems,Linker Verteidiger,Borussia Mönchengladbach,Ron-Robert Zieler,3:0,66',Borussia Mönchengladbach,Hannover 96,3:0 ,2013/2014,1
2,Ronny,Offensives Mittelfeld,Hertha BSC,Raphael Schäfer,1:2,78',1.FC Nürnberg,Hertha BSC,2:2 ,2013/2014,1
2,Marco Reus,Offensives Mittelfeld,Borussia Dortmund,Daniel Davari,2:0,86',Borussia Dortmund,Eintracht Braunschweig,2:1 ,2013/2014,1
3,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Oliver Baumann,1:0,10',TSG 1899 Hoffenheim,SC Freiburg,3:3 ,2013/2014,1
3,Szabolcs Huszti,Zentrales Mittelfeld,Hannover 96,Timo Hildebrand,1:0,15',Hannover 96,FC Schalke 04,2:1 ,2013/2014,1
1,Robert Lewandowski,Mittelstürmer,FC Bayern München,Felix Wiedwald,6:0,77',FC Bayern München,SV Werder Bremen,6:0 ,2016/2017,1
1,Pierre-Emerick Aubameyang,Mittelstürmer,Borussia Dortmund,Jonas Lössl,2:0,89',Borussia Dortmund,1.FSV Mainz 05,2:1 ,2016/2017,1
2,Aron Jóhannsson,Mittelstürmer,SV Werder Bremen,Marwin Hitz,1:0,45',SV Werder Bremen,FC Augsburg,1:2 ,2016/2017,1
2,Nils Petersen,Mittelstürmer,SC Freiburg,Yann Sommer,3:1,88',SC Freiburg,Borussia Mönchengladbach,3:1 ,2016/2017,1
3,Raffael,Hängende Spitze,Borussia Mönchengladbach,Jaroslav Drobny,3:0,21',Borussia Mönchengladbach,SV Werder Bremen,4:1 ,2016/2017,1
3,Emil Forsberg,Linksaußen,RasenBallsport Leipzig,René Adler,0:1,66',Hamburger SV,RasenBallsport Leipzig,0:4 ,2016/2017,1
5,Vedad Ibisevic,Mittelstürmer,Hertha BSC,Lukas Hradecky,0:1,19',Eintracht Frankfurt,Hertha BSC,3:3 ,2016/2017,1
6,Antonio Colak,Mittelstürmer,SV Darmstadt 98,Jaroslav Drobny,1:0,19',SV Darmstadt 98,SV Werder Bremen,2:2 ,2016/2017,1
6,Eric Maxim Choupo-Moting,Mittelstürmer,FC Schalke 04,Yann Sommer,1:0,52',FC Schalke 04,Borussia Mönchengladbach,4:0 ,2016/2017,1
6,Vedad Ibisevic,Mittelstürmer,Hertha BSC,René Adler,2:0,70',Hertha BSC,Hamburger SV,2:0 ,2016/2017,1
1,Andreas Ivanschitz,Offensives Mittelfeld,1.FSV Mainz 05,Oliver Baumann,1:1,65',SC Freiburg,1.FSV Mainz 05,1:1 ,2012/2013,1
2,Aaron Hunt,Offensives Mittelfeld,SV Werder Bremen,René Adler,1:0,51',SV Werder Bremen,Hamburger SV,2:0 ,2012/2013,1
2,Alexander Meier,Hängende Spitze,Eintracht Frankfurt,Tim Wiese,0:3,83',TSG 1899 Hoffenheim,Eintracht Frankfurt,0:4 ,2012/2013,1
3,Aaron Hunt,Offensives Mittelfeld,SV Werder Bremen,Ron-Robert Zieler,2:1,26',Hannover 96,SV Werder Bremen,3:2 ,2012/2013,1
3,Ádám Szalai,Mittelstürmer,1.FSV Mainz 05,Manuel Neuer,2:1,59',FC Bayern München,1.FSV Mainz 05,3:1 ,2012/2013,1
5,Jefferson Farfán,Rechtsaußen,FC Schalke 04,Christian Wetklo,1:0,21',FC Schalke 04,1.FSV Mainz 05,3:0 ,2012/2013,1
7,Vedad Ibisevic,Mittelstürmer,VfB Stuttgart,Bernd Leno,1:1,19',VfB Stuttgart,Bayer 04 Leverkusen,2:2 ,2012/2013,1
7,Daniel Caligiuri,Rechtsaußen,SC Freiburg,Raphael Schäfer,2:0,90',SC Freiburg,1.FC Nürnberg,3:0 ,2012/2013,1
8,Daniel Caligiuri,Rechtsaußen,SC Freiburg,Diego Benaglio,0:1,40',VfL Wolfsburg,SC Freiburg,0:2 ,2012/2013,1
9,Jens Langeneke,Innenverteidiger,Fortuna Düsseldorf,Diego Benaglio,1:3,70',Fortuna Düsseldorf,VfL Wolfsburg,1:4 ,2012/2013,1
1,Torsten Frings,Defensives Mittelfeld,SV Werder Bremen,Tom Starke,0:1,3',TSG 1899 Hoffenheim,SV Werder Bremen,4:1 ,2010/2011,1
2,Torsten Frings,Defensives Mittelfeld,SV Werder Bremen,Faryd Mondragón,1:0,33',SV Werder Bremen,1.FC Köln,4:2 ,2010/2011,1
2,Papiss Demba Cissé,Mittelstürmer,SC Freiburg,Raphael Schäfer,1:1,40',1.FC Nürnberg,SC Freiburg,1:2 ,2010/2011,1
2,Arturo Vidal,Zentrales Mittelfeld,Bayer 04 Leverkusen,Logan Bailly,2:4,58',Bayer 04 Leverkusen,Borussia Mönchengladbach,3:6 ,2010/2011,1
1,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Ron-Robert Zieler,1:1,18',Hannover 96,TSG 1899 Hoffenheim,2:1 ,2011/2012,1
3,Javier Pinola,Innenverteidiger,1.FC Nürnberg,Frank Rost,1:1,82',Hamburger SV,1.FC Nürnberg,1:1 ,2010/2011,1
5,Torsten Frings,Defensives Mittelfeld,SV Werder Bremen,Florian Fromlowitz,1:1,36',Hannover 96,SV Werder Bremen,4:1 ,2010/2011,1
5,Florian Bruns,Defensives Mittelfeld,FC St. Pauli,Logan Bailly,1:2,71',Borussia Mönchengladbach,FC St. Pauli,1:2 ,2010/2011,1
5,Arturo Vidal,Zentrales Mittelfeld,Bayer 04 Leverkusen,Oka Nikolov,2:1,90',Bayer 04 Leverkusen,Eintracht Frankfurt,2:1 ,2010/2011,1
6,Filip Daems,Linker Verteidiger,Borussia Mönchengladbach,Manuel Neuer,0:1,15',FC Schalke 04,Borussia Mönchengladbach,2:2 ,2010/2011,1
1,Mohammed Abdellaoue,Mittelstürmer,Hannover 96,Tom Starke,2:1,30',Hannover 96,TSG 1899 Hoffenheim,2:1 ,2011/2012,1
2,Mladen Petric,Mittelstürmer,Hamburger SV,Thomas Kraft,1:0,25',Hamburger SV,Hertha BSC,2:2 ,2011/2012,1
2,Konstantin Rausch,Linker Verteidiger,Hannover 96,Raphael Schäfer,0:2,27',1.FC Nürnberg,Hannover 96,1:2 ,2011/2012,1
2,Klaas-Jan Huntelaar,Mittelstürmer,FC Schalke 04,Michael Rensing,1:1,42',FC Schalke 04,1.FC Köln,5:1 ,2011/2012,1
2,Filip Daems,Linker Verteidiger,Borussia Mönchengladbach,Sven Ulreich,1:0,67',Borussia Mönchengladbach,VfB Stuttgart,1:1 ,2011/2012,1
7,André Schürrle,Linksaußen,1.FSV Mainz 05,Tom Starke,4:2,74',1.FSV Mainz 05,TSG 1899 Hoffenheim,4:2 ,2010/2011,1
3,Filip Daems,Linker Verteidiger,Borussia Mönchengladbach,Diego Benaglio,2:1,32',Borussia Mönchengladbach,VfL Wolfsburg,4:1 ,2011/2012,1
3,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Simon Jentzsch,0:2,75',FC Augsburg,TSG 1899 Hoffenheim,0:2 ,2011/2012,1
3,Aaron Hunt,Offensives Mittelfeld,SV Werder Bremen,Oliver Baumann,4:3,87',SV Werder Bremen,SC Freiburg,5:3 ,2011/2012,1
4,Mladen Petric,Mittelstürmer,Hamburger SV,Miro Varvodic,1:0,11',Hamburger SV,1.FC Köln,3:4 ,2011/2012,1
1,Mesut Özil,Offensives Mittelfeld,SV Werder Bremen,Oka Nikolov,1:1,13',SV Werder Bremen,Eintracht Frankfurt,2:3 ,2009/2010,1
2,Jiri Stajner,Hängende Spitze,Hannover 96,Heinz Müller,1:1,56',Hannover 96,1.FSV Mainz 05,1:1 ,2009/2010,1
2,Élson,Offensives Mittelfeld,VfB Stuttgart,Manuel Salz,2:0,65',VfB Stuttgart,SC Freiburg,4:2 ,2009/2010,1
4,Piotr Trochowski,Offensives Mittelfeld,Hamburger SV,Faryd Mondragón,3:1,87',Hamburger SV,1.FC Köln,3:1 ,2009/2010,1
5,Simon Rolfes,Defensives Mittelfeld,Bayer 04 Leverkusen,Diego Benaglio,0:2,50',VfL Wolfsburg,Bayer 04 Leverkusen,2:3 ,2009/2010,1
5,Andreas Ivanschitz,Offensives Mittelfeld,1.FSV Mainz 05,Jaroslav Drobny,1:1,79',1.FSV Mainz 05,Hertha BSC,2:1 ,2009/2010,1
5,Grafite,Mittelstürmer,VfL Wolfsburg,René Adler,2:3,80',VfL Wolfsburg,Bayer 04 Leverkusen,2:3 ,2009/2010,1
7,Carlos Eduardo,Offensives Mittelfeld,TSG 1899 Hoffenheim,Timo Ochs,5:1,62',TSG 1899 Hoffenheim,Hertha BSC,5:1 ,2009/2010,1
8,Simon Rolfes,Defensives Mittelfeld,Bayer 04 Leverkusen,Raphael Schäfer,2:0,28',Bayer 04 Leverkusen,1.FC Nürnberg,4:0 ,2009/2010,1
8,Jefferson Farfán,Rechtsaußen,FC Schalke 04,Oka Nikolov,2:0,90',FC Schalke 04,Eintracht Frankfurt,2:0 ,2009/2010,1
1,Diego,Offensives Mittelfeld,SV Werder Bremen,Jan Lastuvka,0:1,39',VfL Bochum,SV Werder Bremen,2:2 ,2007/2008,1
1,Mihai Tararache,Defensives Mittelfeld,MSV Duisburg,Roman Weidenfeller,0:2,62',Borussia Dortmund,MSV Duisburg,1:3 ,2007/2008,1
1,Pável Pardo,Defensives Mittelfeld,VfB Stuttgart,Manuel Neuer,2:1,67',VfB Stuttgart,FC Schalke 04,2:2 ,2007/2008,1
2,Franck Ribéry,Linksaußen,FC Bayern München,Tim Wiese,0:1,31',SV Werder Bremen,FC Bayern München,0:4 ,2007/2008,1
2,Sofian Chahed,Rechter Verteidiger,Hertha BSC,Raphael Schäfer,1:1,51',Hertha BSC,VfB Stuttgart,3:1 ,2007/2008,1
2,Rafael van der Vaart,Offensives Mittelfeld,Hamburger SV,René Adler,1:0,64',Hamburger SV,Bayer 04 Leverkusen,1:0 ,2007/2008,1
3,Rafael van der Vaart,Offensives Mittelfeld,Hamburger SV,Jan Lastuvka,2:1,86',VfL Bochum,Hamburger SV,2:1 ,2007/2008,1
4,Dennis Sörensen,Mittelstürmer,FC Energie Cottbus,Jaromir Blazek,1:0,15',FC Energie Cottbus,1.FC Nürnberg,1:1 ,2007/2008,1
4,Marcel Maltritz,Innenverteidiger,VfL Bochum,Robert Enke,2:2,66',Hannover 96,VfL Bochum,3:2 ,2007/2008,1
5,Rafael van der Vaart,Offensives Mittelfeld,Hamburger SV,Markus Pröll,1:1,82',Eintracht Frankfurt,Hamburger SV,2:1 ,2007/2008,1
1,Oliver Neuville,Mittelstürmer,Borussia Mönchengladbach,Tomislav Piplica,2:0,60',Borussia Mönchengladbach,FC Energie Cottbus,2:0 ,2006/2007,1
1,Mimoun Azaouagh,Offensives Mittelfeld,1.FSV Mainz 05,Peter Skov-Jensen,2:0,72',1.FSV Mainz 05,VfL Bochum,2:1 ,2006/2007,1
2,Paul Freier,Rechtes Mittelfeld,Bayer 04 Leverkusen,Tim Wiese,0:1,15',SV Werder Bremen,Bayer 04 Leverkusen,2:1 ,2006/2007,1
2,Vlad Munteanu,Linkes Mittelfeld,FC Energie Cottbus,Sascha Kirschstein,1:1,56',FC Energie Cottbus,Hamburger SV,2:2 ,2006/2007,1
2,Abdelaziz Ahanfouf,Mittelstürmer,Arminia Bielefeld,Timo Hildebrand,1:1,65',Arminia Bielefeld,VfB Stuttgart,2:3 ,2006/2007,1
4,Laurentiu Reghecampf,Rechtes Mittelfeld,Alemannia Aachen,Kasey Keller,1:0,7',Alemannia Aachen,Borussia Mönchengladbach,4:2 ,2006/2007,1
7,Jörg Böhme,Linkes Mittelfeld,Arminia Bielefeld,Raphael Schäfer,0:1,26',1.FC Nürnberg,Arminia Bielefeld,1:1 ,2006/2007,1
7,Vlad Munteanu,Linkes Mittelfeld,FC Energie Cottbus,Roman Weidenfeller,2:3,89',FC Energie Cottbus,Borussia Dortmund,2:3 ,2006/2007,1
8,Giannis Amanatidis,Mittelstürmer,Eintracht Frankfurt,Raphael Schäfer,1:0,4',Eintracht Frankfurt,1.FC Nürnberg,2:2 ,2006/2007,1
9,Jaouhar Mnari,Defensives Mittelfeld,1.FC Nürnberg,Roman Weidenfeller,1:0,59',1.FC Nürnberg,Borussia Dortmund,1:1 ,2006/2007,1
1,Lukas Podolski,Hängende Spitze,FC Bayern München,Frank Rost,2:0,16',FC Bayern München,Hamburger SV,2:2 ,2008/2009,1
1,Piotr Trochowski,Offensives Mittelfeld,Hamburger SV,Michael Rensing,2:2,56',FC Bayern München,Hamburger SV,2:2 ,2008/2009,1
3,Grafite,Mittelstürmer,VfL Wolfsburg,Oka Nikolov,1:1,27',VfL Wolfsburg,Eintracht Frankfurt,2:2 ,2008/2009,1
3,Pável Pardo,Defensives Mittelfeld,VfB Stuttgart,Robert Enke,2:0,40',VfB Stuttgart,Hannover 96,2:0 ,2008/2009,1
3,Bastian Schweinsteiger,Zentrales Mittelfeld,FC Bayern München,Jaroslav Drobny,3:0,56',FC Bayern München,Hertha BSC,4:1 ,2008/2009,1
3,Sejad Salihovic,Zentrales Mittelfeld,TSG 1899 Hoffenheim,Benedikt Fernandez,3:2,58',Bayer 04 Leverkusen,TSG 1899 Hoffenheim,5:2 ,2008/2009,1
3,Miroslav Klose,Mittelstürmer,FC Bayern München,Jaroslav Drobny,4:0,70',FC Bayern München,Hertha BSC,4:1 ,2008/2009,1
4,Jefferson Farfán,Rechtsaußen,FC Schalke 04,Roman Weidenfeller,0:1,20',Borussia Dortmund,FC Schalke 04,3:3 ,2008/2009,1
4,Mikael Forssell,Mittelstürmer,Hannover 96,Christofer Heimeroth,5:1,86',Hannover 96,Borussia Mönchengladbach,5:1 ,2008/2009,1
4,Alex Frei,Mittelstürmer,Borussia Dortmund,Ralf Fährmann,3:3,89',Borussia Dortmund,FC Schalke 04,3:3 ,2008/2009,1
1,Sergej Barbarez,Hängende Spitze,Hamburger SV,Raphael Schäfer,2:0,45',Hamburger SV,1.FC Nürnberg,3:0 ,2005/2006,1
1,Marcelinho Paraíba,Offensives Mittelfeld,Hertha BSC,Robert Enke,0:1,49',Hannover 96,Hertha BSC,2:2 ,2005/2006,1
1,Björn Schlicke,Innenverteidiger,1.FC Köln,Dimo Wache,1:0,87',1.FC Köln,1.FSV Mainz 05,1:0 ,2005/2006,1
2,Dimitar Berbatov,Mittelstürmer,Bayer 04 Leverkusen,Oliver Kahn,1:2,32',Bayer 04 Leverkusen,FC Bayern München,2:5 ,2005/2006,1
2,Sergej Barbarez,Hängende Spitze,Hamburger SV,Mathias Hain,0:1,79',Arminia Bielefeld,Hamburger SV,0:2 ,2005/2006,1
3,Nebojsa Krupnikovic,Offensives Mittelfeld,Arminia Bielefeld,Dimo Wache,1:0,23',Arminia Bielefeld,1.FSV Mainz 05,2:0 ,2005/2006,1
3,Nebojsa Krupnikovic,Offensives Mittelfeld,Arminia Bielefeld,Dimo Wache,2:0,39',Arminia Bielefeld,1.FSV Mainz 05,2:0 ,2005/2006,1
3,Ervin Skela,Offensives Mittelfeld,1.FC Kaiserslautern,Stefan Wessels,2:3,90',1.FC Köln,1.FC Kaiserslautern,2:3 ,2005/2006,1
4,Lars Ricken,Offensives Mittelfeld,Borussia Dortmund,Stefan Wessels,1:0,25',Borussia Dortmund,1.FC Köln,2:1 ,2005/2006,1
5,Oliver Neuville,Mittelstürmer,Borussia Mönchengladbach,Stefan Wessels,2:1,80',1.FC Köln,Borussia Mönchengladbach,2:1 ,2005/2006,1
1,Jörg Albertz,Linkes Mittelfeld,Hamburger SV,Jörg Sievers,1:1,82',Hamburger SV,Hannover 96,2:1 ,2002/2003,1
2,Jörg Böhme,Linkes Mittelfeld,FC Schalke 04,Georg Koch,1:1,48',1.FC Kaiserslautern,FC Schalke 04,1:3 ,2002/2003,1
3,Sasa Ciric,Mittelstürmer,1.FC Nürnberg,Jörg Sievers,1:0,16',1.FC Nürnberg,Hannover 96,3:1 ,2002/2003,1
1,Ivica Banovic,Defensives Mittelfeld,1.FC Nürnberg,Tim Wiese,0:1,12',1.FC Kaiserslautern,1.FC Nürnberg,1:3 ,2004/2005,1
3,Sean Dundee,Mittelstürmer,VfB Stuttgart,Jens Lehmann,2:1,77',Borussia Dortmund,VfB Stuttgart,3:1 ,2002/2003,1
3,Babacar N'Diaye,Mittelstürmer,Hannover 96,Darius Kampa,3:1,82',1.FC Nürnberg,Hannover 96,3:1 ,2002/2003,1
4,Markus Münch,Linker Verteidiger,Borussia Mönchengladbach,Gábor Király,0:1,9',Hertha BSC,Borussia Mönchengladbach,1:2 ,2002/2003,1
4,Aílton,Mittelstürmer,SV Werder Bremen,Darius Kampa,1:0,30',SV Werder Bremen,1.FC Nürnberg,4:1 ,2002/2003,1
1,Ferydoon Zandi,Offensives Mittelfeld,1.FC Kaiserslautern,Raphael Schäfer,1:1,58',1.FC Kaiserslautern,1.FC Nürnberg,1:3 ,2004/2005,1
1,Peter Madsen,Mittelstürmer,VfL Bochum,Christian Fiedler,2:2,70',Hertha BSC,VfL Bochum,2:2 ,2004/2005,1
5,Ferydoon Zandi,Offensives Mittelfeld,1.FC Kaiserslautern,Martin Pieckenhagen,1:0,17',1.FC Kaiserslautern,Hamburger SV,2:1 ,2004/2005,1
5,Valérien Ismaël,Innenverteidiger,SV Werder Bremen,Robert Enke,1:0,20',SV Werder Bremen,Hannover 96,3:0 ,2004/2005,1
4,Stefan Effenberg,Zentrales Mittelfeld,VfL Wolfsburg,Martin Pieckenhagen,1:0,51',VfL Wolfsburg,Hamburger SV,2:1 ,2002/2003,1
4,Tomasz Hajto,Innenverteidiger,FC Schalke 04,Timo Hildebrand,1:1,87',VfB Stuttgart,FC Schalke 04,1:1 ,2002/2003,1
5,Sasa Ciric,Mittelstürmer,1.FC Nürnberg,Oliver Kahn,1:1,36',1.FC Nürnberg,FC Bayern München,1:2 ,2002/2003,1
5,Ewerthon,Mittelstürmer,Borussia Dortmund,Oliver Kahn,2:0,69',Borussia Dortmund,FC Bayern München,2:2 ,2004/2005,1
5,Hans Jörg Butt,Torwart,Bayer 04 Leverkusen,Raphael Schäfer,1:2,76',Bayer 04 Leverkusen,1.FC Nürnberg,2:2 ,2004/2005,1
6,Oliver Neuville,Mittelstürmer,Borussia Mönchengladbach,Mathias Schober,2:0,30',Borussia Mönchengladbach,FC Hansa Rostock,2:2 ,2004/2005,1
6,Silvio Meißner,Defensives Mittelfeld,VfB Stuttgart,Hans Jörg Butt,0:0,90',VfB Stuttgart,Bayer 04 Leverkusen,3:0 ,2004/2005,1
9,Marek Mintal,Offensives Mittelfeld,1.FC Nürnberg,Andreas Reinke,2:1,64',SV Werder Bremen,1.FC Nürnberg,4:1 ,2004/2005,1
7,Salomon Kalou,Linksaußen,Hertha BSC,Thorsten Kirschbaum,1:1,22',Hertha BSC,VfB Stuttgart,3:2 ,2014/2015,1
7,Jonas Hofmann,Rechtsaußen,1.FSV Mainz 05,Yann Sommer,1:1,31',Borussia Mönchengladbach,1.FSV Mainz 05,1:1 ,2014/2015,1
8,Thomas Müller,Hängende Spitze,FC Bayern München,Raphael Wolf,3:0,43',FC Bayern München,SV Werder Bremen,6:0 ,2014/2015,1
9,Paul Verhaegh,Rechter Verteidiger,FC Augsburg,Roman Bürki,1:0,11',FC Augsburg,SC Freiburg,2:0 ,2014/2015,1
10,Rafael van der Vaart,Offensives Mittelfeld,Hamburger SV,Bernd Leno,1:0,26',Hamburger SV,Bayer 04 Leverkusen,1:0 ,2014/2015,1
10,Vladimir Darida,Zentrales Mittelfeld,SC Freiburg,Timo Horn,0:1,51',1.FC Köln,SC Freiburg,0:1 ,2014/2015,1
10,Arjen Robben,Rechtsaußen,FC Bayern München,Roman Weidenfeller,2:1,85',FC Bayern München,Borussia Dortmund,2:1 ,2014/2015,1
12,Paul Verhaegh,Rechter Verteidiger,FC Augsburg,Sven Ulreich,0:1,72',VfB Stuttgart,FC Augsburg,0:1 ,2014/2015,1
13,Matthias Lehmann,Defensives Mittelfeld,1.FC Köln,Bernd Leno,0:1,4',Bayer 04 Leverkusen,1.FC Köln,5:1 ,2014/2015,1
13,Paul Verhaegh,Rechter Verteidiger,FC Augsburg,Jaroslav Drobny,3:1,70',FC Augsburg,Hamburger SV,3:1 ,2014/2015,1
1,Levan Kobiashvili,Linkes Mittelfeld,SC Freiburg,Frank Rost,1:0,50',SC Freiburg,SV Werder Bremen,3:0 ,2001/2002,1
1,Harry Koch,Innenverteidiger,1.FC Kaiserslautern,Simon Jentzsch,0:4,83',TSV 1860 München,1.FC Kaiserslautern,0:4 ,2001/2002,1
1,Jörg Böhme,Linkes Mittelfeld,FC Schalke 04,Mathias Schober,3:1,89',FC Schalke 04,FC Hansa Rostock,3:1 ,2001/2002,1
1,Vasile Miriuta,Offensives Mittelfeld,FC Energie Cottbus,Martin Pieckenhagen,1:0,90',FC Energie Cottbus,Hamburger SV,1:0 ,2001/2002,1
2,Harry Koch,Innenverteidiger,1.FC Kaiserslautern,Jörg Stiel,2:2,89',1.FC Kaiserslautern,Borussia Mönchengladbach,3:2 ,2001/2002,1
3,Sebastian Deisler,Rechtes Mittelfeld,Hertha BSC,Richard Golz,0:1,11',SC Freiburg,Hertha BSC,1:3 ,2001/2002,1
4,Andreas Herzog,Offensives Mittelfeld,SV Werder Bremen,Simon Jentzsch,1:1,34',SV Werder Bremen,TSV 1860 München,1:3 ,2001/2002,1
4,Jörg Böhme,Linkes Mittelfeld,FC Schalke 04,Hans Jörg Butt,2:0,40',FC Schalke 04,Bayer 04 Leverkusen,3:3 ,2001/2002,1
5,Hans Jörg Butt,Torwart,Bayer 04 Leverkusen,Jörg Stiel,0:1,3',Borussia Mönchengladbach,Bayer 04 Leverkusen,0:1 ,2001/2002,1
6,Jörg Albertz,Linkes Mittelfeld,Hamburger SV,Jörg Stiel,2:0,17',Hamburger SV,Borussia Mönchengladbach,3:3 ,2001/2002,1
3,Stefan Kießling,Mittelstürmer,Bayer 04 Leverkusen,Marc-André ter Stegen,1:0,23',Bayer 04 Leverkusen,Borussia Mönchengladbach,4:2 ,2013/2014,1
3,Vedad Ibisevic,Mittelstürmer,VfB Stuttgart,Marwin Hitz,2:1,42',FC Augsburg,VfB Stuttgart,2:1 ,2013/2014,1
4,Diego,Offensives Mittelfeld,VfL Wolfsburg,Thomas Kraft,2:0,45',VfL Wolfsburg,Hertha BSC,2:0 ,2013/2014,1
4,Jefferson Farfán,Rechtsaußen,FC Schalke 04,Bernd Leno,2:0,83',FC Schalke 04,Bayer 04 Leverkusen,2:0 ,2013/2014,1
6,Paul Verhaegh,Rechter Verteidiger,FC Augsburg,Ron-Robert Zieler,0:1,51',Hannover 96,FC Augsburg,2:1 ,2013/2014,1
6,Max Kruse,Hängende Spitze,Borussia Mönchengladbach,Marjan Petkovic,3:1,72',Borussia Mönchengladbach,Eintracht Braunschweig,4:1 ,2013/2014,1
6,Szabolcs Huszti,Zentrales Mittelfeld,Hannover 96,Alexander Manninger,2:1,89',Hannover 96,FC Augsburg,2:1 ,2013/2014,1
7,Marco Reus,Offensives Mittelfeld,Borussia Dortmund,Oliver Baumann,2:0,45',Borussia Dortmund,SC Freiburg,5:0 ,2013/2014,1
7,Roberto Firmino,Mittelstürmer,TSG 1899 Hoffenheim,Timo Hildebrand,2:3,48',TSG 1899 Hoffenheim,FC Schalke 04,3:3 ,2013/2014,1
8,Kevin-Prince Boateng,Offensives Mittelfeld,FC Schalke 04,Alexander Manninger,1:1,16',FC Schalke 04,FC Augsburg,4:1 ,2013/2014,1
6,Lukas Hinterseer,Mittelstürmer,FC Ingolstadt 04,Oliver Baumann,1:2,90',FC Ingolstadt 04,TSG 1899 Hoffenheim,1:2 ,2016/2017,1
7,Anthony Modeste,Mittelstürmer,1.FC Köln,Örjan Nyland,2:0,39',1.FC Köln,FC Ingolstadt 04,2:1 ,2016/2017,1
7,Yunus Malli,Offensives Mittelfeld,1.FSV Mainz 05,Michael Esser,2:0,56',1.FSV Mainz 05,SV Darmstadt 98,2:1 ,2016/2017,1
7,Andrej Kramaric,Mittelstürmer,TSG 1899 Hoffenheim,Alexander Schwolow,2:1,81',TSG 1899 Hoffenheim,SC Freiburg,2:1 ,2016/2017,1
