matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
11,Horst-Dieter Höttges,Libero,SV Werder Bremen,Bernd Helmschrot,1:0,31',SV Werder Bremen,Kickers Offenbach,3:1 ,1975/1976,1
11,Lorenz-Günther Köstner,Mittelfeld,KFC Uerdingen 05,Dragan Mutibaric,3:1,66',KFC Uerdingen 05,FC Schalke 04,3:2 ,1975/1976,1
12,Jupp Heynckes,Mittelstürmer,Borussia Mönchengladbach,Dieter Burdenski,3:0,83',Borussia Mönchengladbach,SV Werder Bremen,3:0 ,1975/1976,1
13,Bernd Gersdorff,Mittelstürmer,Eintracht Braunschweig,Rudi Kargus,1:0,11',Eintracht Braunschweig,Hamburger SV,1:0 ,1975/1976,1
13,Bernd Lorenz,Mittelstürmer,Eintracht Frankfurt,Werner Scholz,2:0,48',Eintracht Frankfurt,VfL Bochum,6:0 ,1975/1976,1
16,Arnold Schütz,Innenverteidiger,SV Werder Bremen,Hans Tilkowski,4:3,84',Borussia Dortmund,SV Werder Bremen,4:3 ,1963/1964,1
18,Hans Sturm,Linkes Mittelfeld,1.FC Köln,Petar Radenkovic,1:1,34',1.FC Köln,TSV 1860 München,2:2 ,1963/1964,1
18,Jürgen Moll,Sturm,Eintracht Braunschweig,Volker Danner,3:1,72',Eintracht Braunschweig,1.FC Saarbrücken,3:1 ,1963/1964,1
19,Gustav Witlatschil,Linker Verteidiger,Karlsruher SC,Hans Jäcker,3:0,65',Karlsruher SC,Eintracht Braunschweig,3:1 ,1963/1964,1
20,Wilhelm Huberts,Libero,Eintracht Frankfurt,Hans Jäcker,0:1,28',Eintracht Braunschweig,Eintracht Frankfurt,0:3 ,1963/1964,1
20,Heinz Strehl,Mittelstürmer,1.FC Nürnberg,Volker Danner,1:0,29',1.FC Nürnberg,1.FC Saarbrücken,2:0 ,1963/1964,1
20,Rudolf Brunnenmeier,Mittelstürmer,TSV 1860 München,Horst-Dieter Strich,1:1,51',1.FC Kaiserslautern,TSV 1860 München,2:1 ,1963/1964,1
20,Ludwig Nolden,Mittelstürmer,MSV Duisburg,Günter Bernard,1:0,70',MSV Duisburg,SV Werder Bremen,1:0 ,1963/1964,1
21,Arnold Schütz,Innenverteidiger,SV Werder Bremen,Toni Schumacher,1:0,45',SV Werder Bremen,1.FC Köln,1:1 ,1963/1964,1
21,Klaus Bockisch,Libero,Preußen Münster,Horst-Dieter Strich,1:0,48',Preußen Münster,1.FC Kaiserslautern,1:0 ,1963/1964,1
10,Horst-Dieter Höttges,Libero,SV Werder Bremen,Wolfgang Schnarr,3:1,43',SV Werder Bremen,1.FC Kaiserslautern,3:2 ,1969/1970,1
13,Gert Fröhlich,Mittelfeld,Rot-Weiß Oberhausen,Gert Girschkowski,1:2,35',Rot-Weiß Oberhausen,Hamburger SV,1:3 ,1969/1970,1
13,Reinhold Wosab,Rechter Verteidiger,Borussia Dortmund,Petar Radenkovic,1:1,52',Borussia Dortmund,TSV 1860 München,3:1 ,1969/1970,1
14,Ion Gheorghe Ionescu,Mittelstürmer,Alemannia Aachen,Jürgen Rynio,2:0,59',Alemannia Aachen,Borussia Dortmund,3:1 ,1969/1970,1
14,Erwin Hoffmann,Offensives Mittelfeld,Alemannia Aachen,Jürgen Rynio,3:1,83',Alemannia Aachen,Borussia Dortmund,3:1 ,1969/1970,1
16,Otto Geisert,Offensives Mittelfeld,1.FC Kaiserslautern,Manfred Manglitz,1:1,13',1.FC Köln,1.FC Kaiserslautern,6:1 ,1969/1970,1
16,Dieter Brenninger,Mittelstürmer,FC Bayern München,Wolfgang Scheid,2:3,53',Rot-Weiß Oberhausen,FC Bayern München,3:3 ,1969/1970,1
16,Heinz van Haaren,Offensives Mittelfeld,FC Schalke 04,Fred-Werner Bockholt,5:3,81',FC Schalke 04,Rot-Weiss Essen,5:3 ,1969/1970,1
17,Lothar Ulsaß,Mittelstürmer,Eintracht Braunschweig,Dieter Feller,1:0,65',Eintracht Braunschweig,VfB Stuttgart,1:0 ,1969/1970,1
20,Jupp Martinelli,Mittelfeld,Alemannia Aachen,Gernot Fraydl,1:0,10',Alemannia Aachen,Hertha BSC,2:4 ,1969/1970,1
20,Arnold Schütz,Innenverteidiger,SV Werder Bremen,Horst Podlasly,1:0,26',SV Werder Bremen,Hannover 96,1:0 ,1969/1970,1
20,Otto Rehhagel,Rechter Verteidiger,1.FC Kaiserslautern,Norbert Nigbur,1:1,65',1.FC Kaiserslautern,FC Schalke 04,1:1 ,1969/1970,1
20,Lothar Kobluhn,Defensives Mittelfeld,Rot-Weiß Oberhausen,Jürgen Rynio,2:1,69',Borussia Dortmund,Rot-Weiß Oberhausen,3:2 ,1969/1970,1
20,Alfred Heiß,Linksaußen,TSV 1860 München,Dieter Feller,4:1,78',TSV 1860 München,VfB Stuttgart,4:1 ,1969/1970,1
21,Arnold Schütz,Innenverteidiger,SV Werder Bremen,Gert Girschkowski,1:1,82',Hamburger SV,SV Werder Bremen,2:2 ,1969/1970,1
22,Horst Haug,Offensives Mittelfeld,VfB Stuttgart,Volkmar Groß,3:1,87',Hertha BSC,VfB Stuttgart,3:1 ,1969/1970,1
23,Hans Siemensmeyer,Hängende Spitze,Hannover 96,Werner Scholz,4:0,49',Hannover 96,Alemannia Aachen,5:0 ,1969/1970,1
23,Horst Haug,Offensives Mittelfeld,VfB Stuttgart,Fred-Werner Bockholt,3:0,61',VfB Stuttgart,Rot-Weiss Essen,4:1 ,1969/1970,1
23,Wolfgang Gayer,Hängende Spitze,Hertha BSC,Manfred Manglitz,3:1,74',1.FC Köln,Hertha BSC,5:1 ,1969/1970,1
23,Wolfgang Overath,Offensives Mittelfeld,1.FC Köln,Gernot Fraydl,5:1,86',1.FC Köln,Hertha BSC,5:1 ,1969/1970,1
6,Wolfgang Overath,Offensives Mittelfeld,1.FC Köln,Günter Sawitzki,2:2,71',1.FC Köln,VfB Stuttgart,2:2 ,1967/1968,1
7,Djordje Pavlic,Mittelstürmer,MSV Duisburg,Horst Wolter,1:0,17',MSV Duisburg,Eintracht Braunschweig,2:3 ,1967/1968,1
7,Horst-Dieter Höttges,Libero,SV Werder Bremen,Günter Sawitzki,3:1,51',SV Werder Bremen,VfB Stuttgart,3:1 ,1967/1968,1
8,Wolfgang Gayer,Hängende Spitze,Borussia Neunkirchen,Jürgen Rynio,3:1,58',Borussia Neunkirchen,Karlsruher SC,3:2 ,1967/1968,1
9,Peter Grosser,Zentrales Mittelfeld,TSV 1860 München,Gerhard Prokop,1:2,52',Alemannia Aachen,TSV 1860 München,3:3 ,1967/1968,1
9,Helmut Kapitulski,Linksaußen,1.FC Kaiserslautern,Günter Bernard,1:1,57',1.FC Kaiserslautern,SV Werder Bremen,2:2 ,1967/1968,1
9,Hermann Straschitz,Mittelfeld,Hannover 96,Horst Wolter,1:1,59',Hannover 96,Eintracht Braunschweig,1:1 ,1967/1968,1
9,Klaus-Dieter Sieloff,Libero,VfB Stuttgart,Roland Wabra,3:1,60',1.FC Nürnberg,VfB Stuttgart,5:1 ,1967/1968,1
9,Günter Netzer,Offensives Mittelfeld,Borussia Mönchengladbach,Sepp Maier,3:1,69',FC Bayern München,Borussia Mönchengladbach,3:1 ,1967/1968,1
10,Hermann Straschitz,Mittelfeld,Hannover 96,Petar Radenkovic,2:1,27',TSV 1860 München,Hannover 96,3:1 ,1967/1968,1
10,Wolfgang Overath,Offensives Mittelfeld,1.FC Köln,Wolfgang Schnarr,5:0,65',1.FC Köln,1.FC Kaiserslautern,5:0 ,1967/1968,1
11,Willi Kraus,Sturm,FC Schalke 04,Horst Podlasly,2:1,51',Hannover 96,FC Schalke 04,2:1 ,1967/1968,1
12,Wolfgang Overath,Offensives Mittelfeld,1.FC Köln,Roland Wabra,3:2,72',1.FC Köln,1.FC Nürnberg,3:3 ,1967/1968,1
13,Horst-Dieter Höttges,Libero,SV Werder Bremen,Horst Podlasly,1:1,37',Hannover 96,SV Werder Bremen,4:2 ,1967/1968,1
13,Günter Netzer,Offensives Mittelfeld,Borussia Mönchengladbach,Özcan Arkoc,1:2,37',Hamburger SV,Borussia Mönchengladbach,2:3 ,1967/1968,1
13,Hermann Straschitz,Mittelfeld,Hannover 96,Günter Bernard,2:1,43',Hannover 96,SV Werder Bremen,4:2 ,1967/1968,1
13,Gerd Müller,Mittelstürmer,FC Bayern München,Günter Sawitzki,2:1,73',FC Bayern München,VfB Stuttgart,3:1 ,1967/1968,1
13,Lothar Schämer,Rechter Verteidiger,Eintracht Frankfurt,Toni Schumacher,1:2,85',Eintracht Frankfurt,1.FC Köln,1:2 ,1967/1968,1
14,Horst-Dieter Höttges,Libero,SV Werder Bremen,Sepp Maier,1:0,16',SV Werder Bremen,FC Bayern München,4:1 ,1967/1968,1
14,Horst-Dieter Höttges,Libero,SV Werder Bremen,Sepp Maier,4:1,87',SV Werder Bremen,FC Bayern München,4:1 ,1967/1968,1
8,Klaus Täuber,Mittelstürmer,FC Schalke 04,Dieter Burdenski,2:1,56',FC Schalke 04,SV Werder Bremen,2:2 ,1984/1985,1
8,Christian Schreier,Offensives Mittelfeld,Bayer 04 Leverkusen,Bernd Fuhr,4:1,84',Bayer 04 Leverkusen,Karlsruher SC,4:1 ,1984/1985,1
10,Nico Claesen,Mittelstürmer,VfB Stuttgart,Uwe Greiner,2:1,35',Fortuna Düsseldorf,VfB Stuttgart,2:2 ,1984/1985,1
10,Stefan Kuntz,Mittelstürmer,VfL Bochum,Wolfgang Kneib,1:1,56',VfL Bochum,Arminia Bielefeld,1:1 ,1984/1985,1
11,Günter Sebert,Libero,SV Waldhof Mannheim,Uwe Greiner,1:1,36',SV Waldhof Mannheim,Fortuna Düsseldorf,2:1 ,1984/1985,1
11,Peter Lux,Mittelfeld,Eintracht Braunschweig,Bernd Fuhr,2:0,44',Eintracht Braunschweig,Karlsruher SC,3:1 ,1984/1985,1
13,Michael Zorc,Defensives Mittelfeld,Borussia Dortmund,Waldemar Josef,1:0,6',Borussia Dortmund,Eintracht Braunschweig,3:1 ,1984/1985,1
13,Stefan Kuntz,Mittelstürmer,VfL Bochum,Jean-Marie Pfaff,2:2,24',FC Bayern München,VfL Bochum,2:2 ,1984/1985,1
13,Peter Lux,Mittelfeld,Eintracht Braunschweig,Eike Immel,1:1,24',Borussia Dortmund,Eintracht Braunschweig,3:1 ,1984/1985,1
13,Jürgen Fleer,Libero,Fortuna Düsseldorf,Jürgen Pahl,3:1,71',Fortuna Düsseldorf,Eintracht Frankfurt,3:1 ,1984/1985,1
16,Michael Polywka,Rechtes Mittelfeld,Eintracht Braunschweig,Wolfgang Schnarr,1:0,37',Eintracht Braunschweig,1.FC Kaiserslautern,3:0 ,1968/1969,1
16,Erwin Hoffmann,Offensives Mittelfeld,Alemannia Aachen,Paul Heyeres,0:2,87',1.FC Köln,Alemannia Aachen,1:2 ,1968/1969,1
17,Dieter Koulmann,Mittelfeld,Kickers Offenbach,Klaus Günther,3:2,56',Kickers Offenbach,Borussia Dortmund,4:3 ,1968/1969,1
17,Dieter Koulmann,Mittelfeld,Kickers Offenbach,Klaus Günther,4:2,73',Kickers Offenbach,Borussia Dortmund,4:3 ,1968/1969,1
18,Heinz-Dieter Hasebrink,Zentrales Mittelfeld,1.FC Kaiserslautern,Sepp Maier,3:1,80',1.FC Kaiserslautern,FC Bayern München,3:1 ,1968/1969,1
19,Günter Netzer,Offensives Mittelfeld,Borussia Mönchengladbach,Paul Heyeres,0:3,64',1.FC Köln,Borussia Mönchengladbach,1:4 ,1968/1969,1
20,Günter Netzer,Offensives Mittelfeld,Borussia Mönchengladbach,Roland Wabra,1:1,46',Borussia Mönchengladbach,1.FC Nürnberg,1:1 ,1968/1969,1
21,Ludwig Müller,Libero,1.FC Nürnberg,Horst Podlasly,1:0,38',1.FC Nürnberg,Hannover 96,1:2 ,1968/1969,1
21,Wolfgang Paul,Innenverteidiger,Borussia Dortmund,Petar Radenkovic,2:0,43',Borussia Dortmund,TSV 1860 München,2:0 ,1968/1969,1
22,Horst-Dieter Höttges,Libero,SV Werder Bremen,Norbert Nigbur,1:1,74',FC Schalke 04,SV Werder Bremen,2:1 ,1968/1969,1
